Subject,Stimulus,Response,Confidence,Correct,Contrast,Hand,RT_Decision,RT_Confidence
1,1,2,3,0,1,2,0.84755792398937,1.31103236899071
1,2,1,1,0,1,2,1.30804898300266,2.56387751200236
1,1,1,2,1,2,2,1.61872093200509,2.11439197600703
1,1,1,2,1,2,2,0.711610837010085,1.29518547400949
1,2,1,2,0,1,2,0.789232850002008,1.30094887700398
1,2,2,4,1,1,1,0.983645330998115,0.238224440996419
1,1,2,4,0,1,2,1.00135236499773,1.70719621799071
1,2,2,3,1,2,2,0.822322215011809,1.7751702270034
1,1,2,3,0,2,1,0.782899736004765,0.397544146995642
1,2,2,3,1,2,1,0.760295430998667,0.328813266009092
1,2,2,4,1,1,1,0.598999768000795,0.293230178009253
1,1,1,2,1,1,2,0.927514000999508,1.36711788500543
1,1,1,3,1,2,2,0.89012729699607,1.61114120099228
1,2,2,3,1,2,1,0.704459272994427,0.426909628004069
1,1,1,1,1,1,2,2.13567826499639,2.91082755300158
1,1,2,1,0,1,1,0.847610304001137,1.13212272700912
1,2,2,3,1,2,1,0.896759371011285,0.37091815599706
1,2,2,4,1,2,1,1.21406549599487,0.371596254000906
1,1,1,3,1,2,1,1.23123828899406,0.571665951996692
1,2,2,4,1,2,1,0.583222800996737,0.334691310010385
1,1,2,2,0,1,1,0.64402817300288,0.7932857459964
1,2,2,4,1,2,2,1.00779062700167,1.42345355299767
1,2,2,2,1,2,1,1.68396609699994,0.286224611991202
1,2,2,2,1,1,1,0.861377187000471,1.01823939399037
1,1,1,3,1,2,1,0.971022434008773,1.13859709499229
1,1,1,2,1,1,1,0.750496258988278,0.543311585992342
1,2,2,4,1,1,1,0.756152572997962,0.292628548006178
1,1,1,3,1,1,2,1.46335069599445,1.81489102799969
1,1,1,2,1,2,2,0.710955140006263,1.17565226199804
1,2,2,4,1,2,1,0.854801061010221,0.331594226008747
1,1,1,1,1,1,1,1.15227124499506,0.440932662997511
1,1,1,3,1,2,1,0.745451039008913,0.881925837005838
1,2,1,3,0,1,2,0.97999731299933,1.37099884801137
1,2,2,3,1,2,2,1.11870099000225,1.59054864400241
1,1,1,4,1,1,1,1.31682554900181,1.81405186200573
1,2,2,4,1,2,1,0.694303573007346,0.265723323012935
1,2,2,3,1,1,2,0.8773461170058,1.57321227999637
1,1,1,2,1,1,1,1.38000058000034,0.562254083997686
1,1,1,2,1,1,1,0.726725353000802,0.464366797998082
1,1,1,2,1,1,2,1.47546048300865,1.91550296700734
1,1,1,3,1,2,1,0.949930836999556,1.05356571699667
1,1,1,2,1,1,2,2.36007148399949,3.3212574240024
1,1,1,3,1,2,1,2.31938961599371,0.544096694007749
1,1,1,2,1,2,2,0.831294542993419,1.35937170998659
1,1,1,2,1,1,1,0.9838766890025,0.622797196003376
1,1,1,3,1,2,2,1.00322412599053,1.41088004199264
1,2,2,4,1,2,1,0.665876366008888,0.453663191001397
1,2,2,4,1,2,2,0.801624579005875,1.34508097800426
1,1,1,4,1,1,2,0.731869255992933,1.33296506499755
1,2,2,4,1,1,2,1.05749604100129,1.56160332000582
1,1,1,2,1,1,2,1.0371029569942,1.93986054499692
1,2,2,4,1,1,2,0.864337464998243,1.42434576500091
1,1,2,2,0,1,2,1.73389936701278,2.17431809101254
1,1,2,1,0,2,2,1.76709870900959,2.76007254200522
1,2,2,3,1,2,2,0.770183198997984,1.80265444501129
1,1,1,3,1,2,1,0.856181916999049,0.347794361005072
1,2,2,3,1,2,2,1.07649945399316,1.53202001399768
1,1,2,1,0,2,1,0.86978931199701,0.881147944004624
1,2,2,4,1,1,1,0.904447242995957,0.482925468997564
1,1,1,3,1,2,2,1.27632754298975,2.05355192998832
1,2,2,4,1,1,2,0.834915479004849,1.59495886400691
1,2,2,2,1,1,1,1.3061608979915,0.65980876100366
1,1,2,3,0,1,2,0.791395298001589,1.20626563800033
1,1,1,2,1,2,2,0.984178001992404,1.4483589619922
1,2,2,3,1,2,1,1.22938723600237,0.41798239700438
1,2,2,4,1,1,2,0.74929586298822,1.53419139399193
1,1,1,4,1,2,2,0.713037995999912,1.24897934299952
1,2,2,3,1,2,1,0.759458005995839,0.487559384011547
1,2,2,4,1,2,1,0.638671838009031,0.364154221009812
1,2,2,4,1,1,1,0.720020858992939,0.385483392994502
1,1,1,4,1,2,2,0.847645764995832,1.27114287798759
1,1,1,4,1,2,1,0.987842526999884,0.354539066989673
1,1,2,2,0,1,2,1.04974096399383,2.36182050200296
1,1,2,1,0,2,2,0.79503309399297,1.69219145999523
1,2,2,3,1,2,1,0.982348823003122,0.429431089985883
1,1,1,3,1,2,2,1.33080384199275,2.00317729800008
1,2,2,4,1,2,2,0.803754515000037,1.48370554398571
1,2,2,4,1,1,2,0.744823939996422,1.28225898298842
1,2,2,4,1,2,2,0.688104041008046,1.20699598400097
1,1,1,2,1,2,2,1.32220547299949,2.09738236400881
1,2,2,3,1,2,2,0.719430051001837,1.27140888100257
1,2,2,4,1,1,1,0.825888845996815,0.368208941988996
1,1,2,2,0,1,2,0.791327019003802,1.39125910399889
1,2,2,3,1,1,1,0.773675583986915,0.30103206099011
1,1,1,1,1,2,2,0.990686974997516,2.53531012899475
1,2,2,4,1,2,2,0.753462492997642,1.3624043759919
1,2,2,3,1,1,2,0.837116815993795,1.25254074799886
1,2,2,3,1,2,1,0.881194540008437,0.347722254009568
1,2,2,1,1,1,1,2.4085579639941,0.389296825000201
1,2,2,2,1,1,1,0.664434039994376,0.411609382004826
1,1,1,1,1,1,1,1.12665850200574,0.671970044990303
1,2,2,4,1,2,2,0.866688524998608,1.29785177399754
1,2,2,4,1,2,2,0.696128627998405,1.31186801400327
1,1,1,4,1,1,1,1.04255597600422,0.663763938006014
1,2,2,4,1,1,2,1.01811979200284,1.84991226700367
1,1,1,3,1,2,1,1.51082688099996,0.624761279992526
1,1,1,2,1,2,1,1.19360625398986,0.29670826200163
1,2,1,1,0,1,1,0.823273866000818,0.733512669001357
1,2,2,3,1,1,1,0.962198612993234,0.385919708001893
1,1,1,2,1,1,1,0.996303819993045,0.387233536996064
1,1,1,3,1,2,2,1.32888328999979,1.78426991199376
1,2,2,3,1,1,1,1.86316548100149,0.282175567001104
1,2,2,3,1,1,2,0.841220242989948,1.19354657399526
1,1,1,3,1,1,1,0.777077007005573,0.288455376008642
1,2,2,3,1,1,1,0.831866377004189,0.276307331994758
1,2,2,4,1,1,1,0.6206515100057,0.354135542002041
1,1,1,3,1,2,1,0.702600806995179,0.3695233049948
1,1,1,2,1,1,2,1.33698054999695,1.76105255099537
1,2,1,3,0,1,2,0.898139798999182,1.48256224699435
1,2,1,1,0,1,1,1.37473933299771,0.381238803995075
1,2,1,2,0,1,1,0.864749183005188,0.323780300997896
1,1,1,3,1,1,1,0.681917036999948,0.588953511003638
1,2,2,1,1,2,2,1.73857320498792,2.41909186998964
1,1,1,3,1,1,2,1.32214358300553,1.9229903860105
1,2,2,3,1,2,2,0.751142484994489,1.20642525798758
1,2,2,2,1,1,2,0.824737045011716,1.73596493000514
1,2,1,1,0,1,2,1.45822776800196,2.19510972801072
1,2,2,3,1,2,2,1.19610147700587,1.60467352699197
1,2,2,2,1,1,1,0.906833169006859,0.740843450999819
1,1,1,4,1,1,2,1.00312463399314,1.63540021999506
1,1,1,3,1,1,2,0.828913191988249,1.3005032469955
1,2,2,3,1,2,1,0.838472679999541,0.419623584995861
1,2,2,4,1,1,2,1.00016309900093,1.56849941299879
1,2,2,4,1,2,2,0.753262963000452,1.25096646900056
1,1,2,2,0,2,1,0.895079686990357,0.361797392004519
1,1,1,3,1,2,1,1.21386988999438,0.419406394998077
1,1,2,3,0,2,1,0.692906582989963,0.808265572995879
1,2,2,3,1,2,2,0.900420877995202,1.33387435199984
1,1,1,1,1,2,1,1.23841222299961,0.306597397997393
1,1,2,2,0,1,2,1.38779423899541,2.14082983600383
1,1,1,3,1,2,2,0.688037241008715,1.50359868600208
1,1,2,3,0,2,1,0.913317302998621,0.27453301299829
1,2,2,3,1,1,1,0.538888484996278,0.29201961599756
1,2,2,3,1,1,1,0.579460585999186,0.29872961298679
1,2,1,2,0,1,1,1.48907420701289,0.499193323994405
1,1,2,1,0,1,1,0.882052729008137,0.636421695002355
1,1,2,3,0,1,2,0.904561539005954,1.32753270000103
1,1,2,3,0,1,2,0.660724273009691,1.06081755000923
1,2,2,4,1,1,1,1.29773751299945,0.379465584002901
1,2,2,2,1,1,2,1.37108351200004,2.54667583100672
1,1,2,3,0,1,2,0.837385104998248,1.34900304100302
1,2,2,3,1,2,2,0.801307869012817,1.22537360600836
1,2,2,2,1,2,2,1.07262282900047,1.5698253599985
1,2,2,2,1,1,2,0.786905361994286,1.22749929399288
1,1,1,3,1,1,1,1.03346618599608,0.374865541001782
1,2,2,3,1,2,1,0.873982582008466,0.373453652005992
1,1,2,4,0,1,1,0.641609104990494,0.375050773989642
1,1,2,2,0,1,2,1.01362795000023,1.46928355000273
1,2,2,3,1,2,2,1.29923059800058,1.740420593007
1,1,2,3,0,2,1,1.04467501399631,0.328970517992275
1,1,2,1,0,2,1,0.686848551005824,0.426322361003258
1,2,2,2,1,2,2,0.894147847997374,1.29399304300023
1,1,1,2,1,1,1,1.87163283099653,0.30602183699375
1,1,1,3,1,2,1,0.584670794996782,0.3597621480003
1,1,1,2,1,2,2,1.02419324900256,1.83016588199825
1,1,1,2,1,2,2,0.719467472008546,1.15898309800832
1,2,2,3,1,1,2,0.658685058006085,1.08336835900263
1,1,1,2,1,2,2,0.60804017400369,1.04166425199946
1,2,2,3,1,2,1,2.49477572899195,0.312045890008449
1,1,1,4,1,1,1,0.974147814995376,0.773654542004806
1,2,1,2,0,1,1,1.09663359200931,0.298683197994251
1,1,1,3,1,2,1,0.69759757599968,0.25998998900468
1,2,2,4,1,2,2,1.01591809200181,1.51179847700405
1,1,1,4,1,2,1,1.12148799898569,0.282804178001243
1,1,1,2,1,2,1,2.69789301299897,0.266394699996454
1,1,1,2,1,1,2,0.94840829000168,1.42997152199678
1,1,1,2,1,1,1,0.851111794996541,0.4553989010019
1,2,2,3,1,1,1,0.83108620600251,0.244110892002936
1,1,1,2,1,1,1,1.11792889099161,0.534998636008822
1,1,1,2,1,1,2,1.19816511501267,1.74307553700055
1,1,1,2,1,1,1,0.687453272010316,0.426170563005144
1,1,1,2,1,1,1,0.723853345989482,0.309839480003575
1,1,1,1,1,1,2,1.64768118399661,2.19174379599281
1,2,2,3,1,2,1,0.709939941996709,0.296267982004792
1,2,2,3,1,1,2,0.881159874988953,1.29822679299104
1,1,1,2,1,1,2,0.713088299991796,1.22374020300049
1,2,2,4,1,2,2,0.769955356998253,1.39340644200274
1,2,2,3,1,2,1,0.783922511996934,0.311145529005444
1,1,1,1,1,1,2,0.91312533900782,1.44905131300038
1,2,2,3,1,1,2,0.784636500990018,1.3368502069934
1,2,2,3,1,1,1,0.873375651994138,0.268751525989501
1,2,2,2,1,2,2,0.951140785997268,1.39870745799271
1,2,2,3,1,2,1,0.662699730994063,0.282535291000386
1,2,2,3,1,1,2,0.81182104301115,1.27754334801284
1,2,2,3,1,1,1,0.680667838998488,0.64323317099479
1,1,2,3,0,1,2,1.02434142401034,1.742517658
1,1,2,1,0,2,2,1.72339406699757,2.37828641600208
1,2,2,3,1,2,1,0.641483222003444,0.294525369987241
1,1,1,4,1,2,1,1.39796724800544,0.419753516005585
1,2,2,4,1,2,1,0.685002958998666,0.264351688005263
1,1,1,2,1,2,1,0.888645860992256,1.08383961900836
1,1,2,3,0,1,1,0.986090755992336,0.345123624996631
1,1,2,3,0,1,1,0.870468064997112,0.370144871994853
1,1,2,1,0,1,1,0.725448426004732,0.911327602996607
1,2,2,3,1,1,2,0.839260027991259,1.26482305699028
1,1,2,2,0,1,1,0.644643146995804,0.473610483997618
1,1,1,2,1,2,1,0.70529533700028,0.635897089989157
1,1,2,3,0,1,1,0.652756893003243,0.353256988993962
1,1,2,3,0,1,1,0.557530377991498,0.318412068998441
1,1,1,2,1,2,2,0.958984454991878,1.38389918299799
1,2,2,3,1,1,1,0.733711809996748,0.287080509995576
1,1,1,4,1,2,1,1.0062262989959,0.396439005999127
1,1,1,2,1,2,1,0.837128523999127,0.985898405007902
1,2,2,3,1,2,2,0.816405485995347,1.88027862099989
1,2,2,3,1,2,1,0.690642601999571,0.301512587000616
1,1,1,1,1,1,1,0.939863658000831,0.405586898996262
1,2,1,2,0,1,1,1.27151146699907,0.370783189995564
1,2,2,3,1,2,2,0.82480334599677,1.57801480600028
1,1,1,4,1,2,1,0.760898363994784,0.553539246990113
1,2,1,2,0,1,2,0.872715600999072,1.37560343398945
1,1,1,3,1,1,2,2.17900619099964,2.79504689999158
1,2,2,2,1,1,2,0.987840240995865,1.36243224500504
